lmfdb_index|coeffs|monogenic
1|50,20,-19,-2|-1
1|22,10,-9,-2|1
1|-1,8,-8,-1|1
1|3,-5,-9,-1|1
1|-1,-8,-11,-1|1
1|47,10,-15,-2|-1
1|5,-2,-8,-1|1
1|49,0,-16,0|-1
2|25,0,-20,0|-1
3|1,0,-8,0|1
1|1,4,-7,-1|1
1|3,7,-7,-1|1
1|145,0,-25,0|-1
1|139,24,-23,-2|-1
1|4,10,-9,-1|-1
1|5,-7,-9,0|1
1|2,3,-6,-2|1
1|1,-1,-8,0|1
1|3,-2,-7,0|1
1|22,14,-13,-2|-1
1|4,1,-7,-2|1
1|16,11,-11,-1|-1
1|149,0,-26,0|-1
1|49,-16,-20,0|-1
1|139,17,-25,-1|-1
1|11,-1,-8,0|1
1|52,0,-15,0|-1
1|5,6,-7,-1|1
1|151,0,-27,0|-1
1|3,0,-7,-1|1
1|145,25,-24,-2|1
1|49,14,-15,-2|-1
1|12,6,-9,-1|-1
1|4,8,-11,-1|-1
1|145,5,-26,-1|-1
1|144,12,-25,-1|-1
1|8,0,-9,-1|1
1|11,6,-7,-2|1
1|50,-20,-22,0|-1
1|13,0,-11,0|-1
1|1,-11,-10,0|1
1|155,0,-25,0|1
1|1,7,-7,-1|1
1|-4,16,-11,-1|-1
1|7,7,-6,-2|1
1|23,0,-12,0|-1
1|149,26,-25,-2|-1
1|3,-2,-14,-1|-1
1|24,12,-11,-2|-1
1|1,-3,-9,-2|1
1|149,3,-27,-1|-1
2|145,20,-26,-1|-1
1|3,3,-6,-2|1
1|22,-4,-16,-2|1
1|7,6,-6,-2|1
1|151,1,-28,-1|-1
1|62,0,-16,0|1
1|16,4,-11,-1|-1
1|4,8,-10,-2|-1
1|16,-2,-10,0|1
1|12,0,-11,0|-1
1|3,-1,-7,0|1
1|32,6,-12,-1|-1
1|-1,11,-8,-1|1
1|8,-3,-8,0|1
1|17,-2,-12,-1|-1
1|2,7,-7,-1|1
1|63,0,-18,0|-1
1|149,23,-27,-1|1
2|155,25,-24,-2|1
1|1,-4,-8,0|1
1|12,5,-8,-1|1
1|4,-4,-12,0|1
1|4,-2,-9,0|1
1|18,-6,-12,0|1
1|4,5,-10,-1|-1
1|1,13,-9,-1|1
1|5,4,-6,-2|1
1|155,10,-26,-1|1
1|164,0,-26,0|-1
2|56,8,-17,-2|-1
1|3,0,-7,0|1
1|151,26,-28,-1|-1
1|16,-24,-19,0|-1
1|21,0,-14,0|1
1|2,1,-7,-2|1
1|155,15,-26,-1|-1
1|1,5,-10,-1|-1
1|151,29,-29,-1|-1
1|-6,18,-10,-1|1
1|-2,10,-9,-1|1
1|12,18,-13,-1|-1
1|10,7,-9,-1|-1
1|7,-8,-12,0|-1
1|4,-5,-8,0|1
1|-1,-14,-11,0|1
1|4,-1,-7,0|1
1|1,-5,-9,-1|1
1|24,10,-10,-2|1
1|62,16,-15,-2|1
1|5,-3,-11,-1|-1
1|1,5,-6,-2|1
1|8,-5,-11,-1|-1
1|164,26,-25,-2|-1
1|2,2,-7,-1|1
1|171,0,-27,0|-1
1|6,5,-6,-2|1
1|6,-4,-8,0|1
1|-4,-18,-15,-1|-1
1|164,8,-27,-1|-1
1|63,18,-17,-2|-1
1|22,-6,-13,0|-1
2|25,20,-19,-2|-1
1|8,-2,-9,0|-1
1|4,7,-9,-2|1
1|16,0,-14,0|-1
2|34,20,-19,-2|-1
1|5,1,-7,-1|1
1|7,4,-7,-1|1
1|3,-1,-8,-2|1
1|164,18,-27,-1|-1
1|-2,10,-10,-1|1
1|144,0,-29,0|-1
1|2,10,-8,-1|1
1|24,11,-12,-1|1
1|4,-12,-13,0|1
1|23,12,-11,-2|-1
1|3,1,-7,-2|1
1|11,2,-8,-1|1
1|171,27,-26,-2|-1
1|12,4,-9,-1|-1
1|12,1,-10,-2|1
1|1,3,-7,-2|1
1|169,13,-27,-1|-1
1|8,-6,-10,0|-1
1|179,0,-29,0|-1
1|26,-6,-13,0|1
1|7,3,-7,-1|1
1|171,6,-28,-1|-1
1|16,12,-14,-1|1
1|2,-1,-8,-2|1
1|62,-4,-18,0|-1
1|180,0,-30,0|-1
1|-3,12,-10,-1|1
1|4,1,-9,-1|-1
1|12,3,-8,-1|1
1|63,6,-19,-2|-1
2|2,4,-6,-2|1
1|15,2,-9,-1|1
1|-3,-17,-12,0|1
1|71,0,-22,0|-1
1|3,1,-7,-1|1
1|4,9,-9,-1|1
1|2,16,-13,-1|1
1|17,11,-12,-1|-1
1|171,21,-28,-1|-1
2|176,28,-27,-2|-1
1|176,4,-29,-1|-1
1|62,12,-17,-2|-1
1|1,2,-8,-1|1
1|11,8,-9,-2|-1
1|14,6,-8,-2|1
1|7,8,-10,-1|1
1|1,-14,-15,-2|1
1|179,29,-28,-2|-1
1|4,0,-17,0|-1
1|2,-2,-8,-1|1
1|13,9,-10,-1|-1
1|179,2,-30,-1|-1
1|68,20,-19,-2|-1
1|2,3,-7,-1|1
1|2,-3,-9,-2|1
1|3,3,-11,-1|-1
1|180,30,-29,-2|-1
1|181,27,-26,-2|1
1|6,-1,-9,-2|1
1|6,2,-7,-1|1
1|4,1,-7,-1|1
1|-8,22,-13,-1|-1
1|5,-9,-10,0|1
1|-1,-9,-11,-1|1
1|9,-6,-11,0|1
1|33,0,-12,0|1
1|25,0,-13,0|-1
1|181,11,-28,-1|-1
1|-2,14,-9,-1|1
1|191,0,-28,0|-1
1|181,16,-28,-1|-1
1|12,4,-11,-1|-1
1|2,6,-7,-1|1
1|68,4,-21,-2|-1
1|3,-10,-13,0|-1
1|-1,10,-8,-1|1
1|4,-3,-11,0|1
1|5,10,-10,-2|1
1|179,27,-30,-1|-1
1|24,-12,-15,0|-1
1|9,3,-10,-1|-1
1|3,-5,-8,0|1
1|31,5,-12,-1|1
1|64,16,-17,-2|-1
1|1,-1,-12,-1|-1
1|180,30,-31,-1|-1
1|4,2,-9,-1|-1
1|-1,8,-9,-1|1
1|24,4,-11,-1|1
1|5,2,-7,-2|1
1|18,8,-10,-1|1
1|18,-4,-11,0|-1
1|155,30,-29,-2|-1
1|29,0,-18,0|-1
1|3,6,-7,-1|1
1|1,-4,-9,-1|1
1|6,6,-6,-2|1
1|191,28,-27,-2|-1
1|2,4,-9,-2|-1
1|73,18,-17,-2|-1
2|71,2,-23,-2|-1
1|4,-4,-13,-1|-1
1|2,4,-7,-1|1
1|199,0,-29,0|-1
1|3,8,-11,-2|1
1|72,24,-23,-2|-1
1|1,-13,-11,0|1
1|191,9,-29,-1|-1
1|7,-2,-10,-2|1
1|4,9,-8,-1|1
1|17,5,-9,-1|1
1|2,-8,-9,0|1
1|-3,14,-9,-1|1
1|7,-6,-11,0|1
1|7,-8,-10,0|1
2|79,0,-18,0|1
1|191,19,-29,-1|-1
1|13,18,-17,-2|-1
1|25,10,-12,-2|-1
1|169,0,-31,0|-1
1|17,4,-10,-2|1
2|11,4,-8,-2|1
1|3,12,-9,-1|1
1|38,7,-13,-1|-1
1|-1,-8,-11,0|1
1|5,5,-7,-1|1
1|7,-6,-10,0|1
1|10,6,-8,-1|1
1|3,-10,-12,0|1
1|5,5,-6,-2|1
1|199,29,-28,-2|-1
1|196,14,-29,-1|-1
1|10,-1,-8,0|1
1|-2,11,-14,-1|1
1|4,8,-9,-1|1
1|33,12,-11,-2|1
1|3,-2,-8,-1|1
1|199,7,-30,-1|-1
1|23,-7,-15,-1|1
2|27,15,-14,-2|-1
1|1,-2,-12,0|1
1|4,-6,-11,-1|-1
1|3,-6,-11,-2|1
2|19,-12,-16,0|1
1|209,0,-29,0|1
1|6,3,-7,-1|1
1|82,0,-20,0|-1
1|73,-8,-20,0|-1
1|17,4,-9,-1|1
1|211,0,-32,0|-1
1|1,-3,-9,-1|1
1|73,10,-19,-2|-1
1|16,9,-8,-2|1
1|11,6,-12,-1|-1
1|199,22,-30,-1|-1
1|205,30,-29,-2|-1
1|1,13,-10,-1|-1
1|37,0,-16,0|-1
1|-2,-11,-14,-1|1
1|205,5,-31,-1|-1
1|79,18,-17,-2|1
1|8,-2,-10,-1|-1
1|3,-1,-10,-1|-1
1|9,-7,-10,0|1
1|20,7,-10,-1|1
1|22,-13,-15,0|1
1|29,9,-12,-1|1
1|7,4,-11,-2|-1
1|1,10,-8,-1|1
1|28,-2,-15,0|1
1|209,29,-28,-2|1
1|33,18,-17,-2|-1
1|8,6,-8,-2|-1
1|209,31,-30,-2|-1
1|-8,21,-11,-1|1
1|8,2,-9,-1|-1
1|6,8,-8,-1|1
1|15,7,-8,-2|1
1|11,4,-11,-2|-1
1|205,25,-31,-1|1
1|47,22,-21,-2|-1
1|211,32,-31,-2|-1
1|27,6,-12,-1|1
1|-3,13,-9,-1|1
1|1,-2,-9,-1|1
