lmfdb_index|coeffs|monogenic
1|3,8,-3,-7,0|1
1|-3,7,4,-6,-1|1
1|8,15,-2,-8,0|1
1|5,18,2,-9,-1|0
1|-2,3,6,-6,-1|1
1|-11,5,13,-7,-2|1
1|1,12,3,-7,-1|1
1|-2,8,9,-6,-2|1
1|-1,-4,14,-6,-2|1
1|2,8,4,-6,-2|1
1|-8,6,10,-6,-2|0
1|-3,5,8,-5,-2|1
1|2,7,2,-7,-1|1
1|-4,6,6,-7,-1|0
1|-1,7,-2,-7,0|1
1|4,14,-1,-8,0|-1
1|-7,10,5,-7,-1|1
1|-3,7,8,-8,-1|0
1|2,6,-3,-8,-1|1
1|7,10,-5,-8,0|1
1|-4,12,6,-8,-1|0
1|5,9,-5,-8,0|1
1|-4,10,1,-9,-1|0
1|-3,3,11,-6,-2|0
1|-9,10,8,-7,-2|1
1|7,8,-8,-9,0|1
1|-2,6,4,-6,-2|1
1|-2,4,5,-5,-2|1
1|1,7,-2,-8,-1|1
1|-4,9,3,-7,-1|1
1|-2,8,-1,-7,0|1
1|-3,6,4,-6,-1|1
1|-4,6,7,-7,-1|0
1|1,4,-1,-7,0|1
1|3,23,-1,-10,0|0
1|-11,1,16,-7,-2|1
1|1,8,8,-6,-2|1
1|-1,1,9,-5,-2|1
1|-1,15,0,-8,0|1
1|-4,12,10,-7,-2|0
1|-2,-1,10,-5,-2|1
1|-4,11,8,-7,-2|0
1|5,14,4,-8,-1|1
1|-2,8,-1,-9,-1|0
1|-1,6,-2,-7,0|1
1|7,15,-2,-8,0|1
1|-1,5,5,-6,-1|1
1|-2,6,3,-6,-1|1
1|-1,3,5,-6,-1|1
1|-2,7,-1,-9,-1|1
1|-5,1,17,-8,-2|0
1|-11,21,8,-10,-1|0
1|-3,5,5,-6,-1|1
1|-7,7,8,-7,-1|1
1|-3,0,10,-5,-2|1
1|-3,4,6,-5,-2|1
1|-1,5,-1,-7,0|1
1|1,7,9,-9,-1|1
1|2,7,2,-8,-1|1
1|-19,15,11,-9,-1|1
1|-13,9,13,-7,-2|1
1|-1,6,2,-7,-2|1
1|-3,12,10,-7,-2|1
1|-1,3,6,-9,-1|0
1|-1,6,6,-7,-1|0
1|-5,4,9,-7,-1|1
1|-3,10,-3,-10,0|1
1|-8,10,10,-7,-2|0
1|-5,4,8,-5,-2|1
1|1,9,5,-7,-1|1
1|-1,1,7,-5,-2|1
1|1,5,2,-7,-1|1
1|2,12,3,-7,-1|1
1|-2,24,0,-10,0|1
1|-2,6,7,-5,-2|1
1|-5,7,10,-6,-2|1
1|-1,7,3,-6,-1|1
1|1,19,9,-8,-2|0
1|2,9,6,-6,-2|1
1|-5,3,9,-5,-2|1
1|7,16,3,-9,-1|1
1|-4,8,6,-7,-1|0
1|-1,6,-3,-9,-1|1
1|-7,9,7,-7,-1|1
1|9,14,-3,-8,0|1
1|3,6,-6,-8,0|1
1|-4,2,11,-8,-1|0
1|3,9,2,-7,-1|1
1|-1,3,5,-5,-2|1
1|-1,11,3,-7,-1|1
1|1,4,-4,-7,0|1
1|4,12,3,-8,-1|0
1|1,12,1,-8,-1|1
1|-4,2,10,-6,-2|0
1|2,8,0,-7,-1|1
1|2,4,-4,-8,0|1
1|-2,10,8,-6,-2|1
1|1,6,3,-6,-2|1
1|-1,-2,13,-6,-2|1
1|-3,8,0,-8,0|1
1|11,19,0,-9,-1|1
1|-1,6,7,-7,-1|1
1|-8,-2,18,-8,-2|0
1|-1,4,3,-6,-2|1
1|-1,5,-2,-8,0|1
1|-10,12,10,-7,-2|0
1|-1,2,6,-5,-2|1
1|-4,5,8,-5,-2|1
1|-1,0,9,-7,-1|1
1|1,2,-7,-8,0|1
1|-1,5,-1,-8,-1|1
1|1,6,5,-6,-2|1
1|2,9,6,-8,-1|1
1|-1,4,5,-6,-1|1
1|-2,4,5,-6,-1|1
1|-2,0,9,-5,-2|1
1|-2,2,9,-5,-2|1
1|-4,8,5,-7,-1|0
1|2,9,7,-7,-2|1
1|-2,4,4,-7,-1|1
1|-1,5,10,-6,-2|1
1|-1,3,8,-5,-2|1
1|-5,10,4,-7,-1|1
1|-6,7,7,-6,-2|1
1|-1,5,5,-5,-2|1
1|-1,9,-1,-7,0|1
1|2,3,-6,-9,0|1
1|-8,9,7,-7,-1|1
1|-3,-3,14,-6,-2|1
1|-1,1,9,-7,-1|1
1|-4,3,9,-5,-2|1
1|-2,9,6,-6,-2|1
1|-8,9,9,-6,-2|1
1|-9,13,5,-8,-1|1
1|3,10,3,-7,-1|1
1|-1,1,14,-10,-1|0
1|-1,6,6,-5,-2|1
1|-4,10,1,-10,-1|0
1|-1,3,9,-6,-2|0
1|4,15,-1,-8,0|1
1|-2,10,0,-7,0|1
1|1,9,1,-7,-1|1
1|1,0,-10,-9,0|1
1|-2,5,5,-6,-1|1
1|5,11,-1,-8,-1|1
1|-1,4,4,-6,-1|1
1|3,10,1,-7,-1|1
1|-1,1,8,-5,-2|1
1|-2,5,4,-6,-1|1
1|3,10,-6,-11,-1|0
1|2,5,-3,-10,0|1
1|1,5,-3,-8,-1|1
1|-9,8,9,-6,-2|1
1|-1,4,5,-5,-2|1
1|6,16,3,-8,-1|1
1|-3,1,9,-5,-2|1
1|-11,23,4,-11,-1|1
1|-4,3,8,-5,-2|1
1|1,11,4,-7,-1|1
1|12,26,3,-10,-1|0
1|-1,5,7,-5,-2|1
1|-16,18,8,-9,-1|0
1|-3,-1,13,-8,-1|1
1|-2,1,8,-5,-2|1
1|-9,6,13,-7,-2|0
1|-2,3,6,-5,-2|1
1|1,4,-2,-7,0|1
1|-1,5,3,-6,-1|1
1|1,6,4,-6,-2|1
1|-5,13,4,-8,-1|0
1|-1,6,4,-6,-1|1
1|-5,9,9,-6,-2|1
1|-3,3,7,-5,-2|1
1|-5,2,12,-7,-2|0
1|-4,7,8,-7,-2|0
1|2,11,2,-7,-1|1
1|-1,7,-1,-8,-1|1
1|-4,12,4,-9,-2|0
1|-1,2,8,-5,-2|1
1|-4,9,7,-6,-2|1
1|4,9,-2,-7,0|1
1|-1,3,4,-6,-2|1
1|3,12,8,-7,-2|1
1|-5,1,21,-12,-1|-1
1|2,6,-1,-7,0|1
1|-24,20,15,-9,-2|0
1|3,24,-1,-10,0|1
1|-1,1,13,-8,-2|0
1|-6,-10,24,-9,-2|1
1|2,8,4,-8,-1|1
1|2,10,4,-7,-1|1
1|5,10,-2,-9,0|1
1|-2,2,7,-5,-2|1
1|-3,2,8,-5,-2|1
1|2,9,5,-6,-2|1
1|-5,6,8,-7,-1|1
1|-4,4,12,-7,-2|0
1|-7,13,9,-7,-2|1
1|-3,5,8,-7,-1|1
1|4,16,10,-9,-2|0
1|4,18,3,-9,-1|0
1|-1,14,1,-9,-1|1
1|2,7,-4,-9,-1|1
1|-1,-4,16,-9,-1|1
1|-1,0,12,-6,-2|1
1|-2,8,0,-8,-1|1
1|-1,2,7,-5,-2|1
1|-3,10,8,-6,-2|1
1|1,9,3,-7,-2|1
1|-1,5,4,-6,-1|1
1|6,19,6,-8,-2|1
1|3,11,-2,-9,-1|1
1|-3,5,5,-8,-1|1
1|-4,3,9,-7,-1|1
1|2,14,6,-7,-2|1
1|1,7,9,-7,-2|1
1|2,10,6,-6,-2|1
1|-4,8,8,-10,-1|0
1|-3,16,11,-8,-2|1
1|-1,8,6,-7,-1|1
1|3,14,8,-7,-2|1
1|-10,8,10,-6,-2|1
1|-5,8,7,-7,-1|1
1|9,25,7,-9,-2|1
1|4,15,4,-8,-1|1
1|-5,11,5,-7,-1|1
1|-2,3,10,-6,-2|-1
1|2,9,4,-7,-1|1
1|-1,-1,10,-8,-2|1
1|-1,3,6,-5,-2|1
1|-1,13,6,-8,-1|1
1|2,8,3,-9,-1|0
1|-2,1,9,-5,-2|1
1|-3,6,10,-6,-2|1
1|-7,-3,17,-7,-2|1
1|3,7,-3,-7,0|1
1|7,24,-1,-10,0|1
1|-2,6,1,-8,-1|1
1|1,4,-7,-10,-1|1
1|8,19,1,-9,-1|1
1|-8,20,6,-10,-1|0
1|-2,13,0,-8,0|-1
1|-2,2,9,-7,-1|1
1|1,5,0,-7,-1|1
1|-1,7,-4,-11,-1|0
1|-27,18,16,-9,-2|0
1|5,15,7,-8,-2|1
1|-4,11,5,-7,-1|1
1|-2,-4,14,-6,-2|1
1|4,9,-1,-8,0|1
1|-7,17,11,-8,-2|0
1|-2,5,6,-5,-2|1
1|-1,5,7,-6,-2|0
1|7,13,-3,-9,0|0
1|-16,16,13,-9,-2|0
1|-3,14,0,-8,0|1
1|-8,13,7,-8,-1|0
1|-1,10,5,-7,-1|1
1|5,17,3,-9,-1|0
1|-1,4,2,-7,-1|1
1|-2,1,9,-7,-1|1
1|-3,7,7,-7,-1|1
1|-3,6,4,-7,-2|1
1|-1,5,6,-5,-2|1
1|-17,10,13,-7,-2|1
1|9,18,-5,-10,0|0
1|-8,8,9,-8,-1|0
1|-1,1,8,-7,-1|1
1|13,19,-3,-9,0|1
1|-3,12,-1,-8,0|1
1|23,28,-4,-12,-1|1
1|1,7,0,-7,-1|1
1|-3,5,5,-7,-2|1
1|2,9,-4,-9,0|0
1|-3,9,6,-7,-1|1
1|-3,4,7,-9,-1|1
1|-6,6,8,-7,-1|1
1|-2,8,-2,-9,0|0
1|7,15,1,-8,-1|1
1|3,11,2,-7,-1|1
1|3,9,-2,-7,0|1
1|-1,3,7,-5,-2|1
1|1,12,6,-8,-1|1
1|8,30,10,-10,-2|0
1|-3,5,7,-5,-2|1
1|-3,11,4,-7,-1|1
1|-14,6,14,-7,-2|1
1|25,26,-7,-11,0|1
1|5,22,6,-10,-1|1
1|-3,2,9,-7,-1|1
1|1,6,-3,-7,0|1
1|7,16,2,-8,-1|1
1|6,16,4,-8,-2|1
1|-1,4,10,-7,-2|0
1|-2,4,6,-5,-2|1
1|-2,7,0,-7,0|1
1|-13,4,15,-7,-2|1
1|-3,4,8,-5,-2|1
1|-4,8,5,-10,-1|0
1|1,17,3,-9,-1|0
1|-2,-1,16,-8,-2|0
1|-1,4,6,-5,-2|1
1|-1,-8,18,-7,-2|1
1|-2,5,7,-5,-2|1
1|1,10,7,-6,-2|1
1|3,13,-1,-8,0|0
1|1,17,-1,-9,0|0
1|9,24,2,-10,-1|0
1|-8,19,7,-9,-1|1
1|6,13,0,-8,-1|1
1|5,13,3,-8,-1|1
1|-5,9,4,-7,-1|1
1|3,8,-2,-8,-1|1
